INFO 2024-02-06 19:31:26,146 Watching for file changes with StatReloader
WARNING 2024-02-06 19:31:33,289 Not Found: /r
WARNING 2024-02-06 19:31:33,289 "GET /r HTTP/1.1" 404 2357
INFO 2024-02-06 19:31:36,847 Была вызвана функция coin
INFO 2024-02-06 19:31:36,848 "GET /random/coin/ HTTP/1.1" 200 10
INFO 2024-02-06 19:31:38,020 "GET / HTTP/1.1" 200 12
INFO 2024-02-06 19:31:42,017 "GET / HTTP/1.1" 200 12
INFO 2024-02-06 19:31:42,743 "GET / HTTP/1.1" 200 12
INFO 2024-02-06 19:31:44,921 "GET / HTTP/1.1" 200 12
INFO 2024-02-06 19:31:46,497 Была вызвана функция coin
INFO 2024-02-06 19:31:46,497 "GET /random/coin/ HTTP/1.1" 200 10
INFO 2024-02-06 19:31:50,595 Была вызвана функция coin
INFO 2024-02-06 19:31:50,595 "GET /random/coin/ HTTP/1.1" 200 10
INFO 2024-02-06 19:31:51,447 Была вызвана функция coin
INFO 2024-02-06 19:31:51,448 "GET /random/coin/ HTTP/1.1" 200 10
INFO 2024-02-06 19:31:52,027 Была вызвана функция coin
INFO 2024-02-06 19:31:52,027 "GET /random/coin/ HTTP/1.1" 200 8
INFO 2024-02-06 19:31:52,597 Была вызвана функция coin
INFO 2024-02-06 19:31:52,598 "GET /random/coin/ HTTP/1.1" 200 8
INFO 2024-02-06 19:31:53,223 Была вызвана функция coin
INFO 2024-02-06 19:31:53,224 "GET /random/coin/ HTTP/1.1" 200 10
INFO 2024-02-06 19:31:53,746 Была вызвана функция coin
INFO 2024-02-06 19:31:53,747 "GET /random/coin/ HTTP/1.1" 200 8
INFO 2024-02-06 19:31:58,100 Была вызвана функция dice
INFO 2024-02-06 19:31:58,101 "GET /random/dice/ HTTP/1.1" 200 43
INFO 2024-02-06 19:32:01,727 Была вызвана функция dice
INFO 2024-02-06 19:32:01,728 "GET /random/dice/ HTTP/1.1" 200 43
INFO 2024-02-06 19:32:02,639 Была вызвана функция dice
INFO 2024-02-06 19:32:02,640 "GET /random/dice/ HTTP/1.1" 200 43
INFO 2024-02-06 19:32:03,322 Была вызвана функция dice
INFO 2024-02-06 19:32:03,323 "GET /random/dice/ HTTP/1.1" 200 43
INFO 2024-02-06 19:32:04,008 Была вызвана функция dice
INFO 2024-02-06 19:32:04,009 "GET /random/dice/ HTTP/1.1" 200 43
INFO 2024-02-06 19:32:07,332 Была вызвана функция dice
INFO 2024-02-06 19:32:07,333 "GET /random/dice/ HTTP/1.1" 200 43
INFO 2024-02-06 19:32:07,716 Была вызвана функция coin
INFO 2024-02-06 19:32:07,717 "GET /random/coin/ HTTP/1.1" 200 10
INFO 2024-02-06 19:32:10,155 Была вызвана функция random_num
INFO 2024-02-06 19:32:10,157 "GET /random/random_num/ HTTP/1.1" 200 52
INFO 2024-02-06 19:32:13,642 Была вызвана функция random_num
INFO 2024-02-06 19:32:13,642 "GET /random/random_num/ HTTP/1.1" 200 52
INFO 2024-02-06 19:32:14,187 Была вызвана функция random_num
INFO 2024-02-06 19:32:14,188 "GET /random/random_num/ HTTP/1.1" 200 52
INFO 2024-02-06 19:32:14,821 Была вызвана функция random_num
INFO 2024-02-06 19:32:14,822 "GET /random/random_num/ HTTP/1.1" 200 53
